,wavelength,calspec_vega,flux_avg,reaction_fn,flux_avg_cal
137,103.29459999999999,0.08752774438396116,,,
138,103.3982,0.08998869358012307,,,
139,103.5018,0.08982463210738256,,,
140,103.60560000000001,0.084984764451429,,,
141,103.7095,0.08473866682130737,,,
142,103.8134,0.09318792482462812,,,
143,103.91749999999999,0.09868404921356544,,,
144,104.02170000000001,0.10089890077960573,,,
145,104.126,0.1026215679274245,,,
146,104.23030000000001,0.10303172160927576,,,
147,104.3348,0.10286766013653525,,,
148,104.4394,0.10450828570596205,,,
149,104.5441,0.10680517885039431,,,
150,104.6489,0.10885596894369409,,,
151,104.7539,0.10934815336191561,,,
152,104.85889999999999,0.11008644083126962,,,
153,104.96400000000001,0.1136138058632774,,,
154,105.0692,0.11615678037479871,,,
155,105.1745,0.11697709858052296,,,
156,105.28,0.11820757046809849,,,
